Account,Southwest Airlines 2008,Southwest Airlines 2007,Continental Airlines 2008,Continental Airlines 2007,Lufthansa 2008,Lufthansa 2007,Singapore Airlines 2009,Singapore Airlines 2008,Air Canada 2008,Air Canada 2007,WestJet Airlines 2008,WestJet Airlines 2007
STATEMENT OF CASH FLOWS,,,,,,,,,,,,
Net Income,178,645,-585,459,599,1655,1147,2049,-1025,429,178,193
Adjustments from Inc to Cash,661,878,261,674,1393,962,1429,1633,864,-10,198,236
Change in Working Capital,-2360,1322,-365,127,227,367,-882,783,0,0,88,108
Other Operating Cash Flows,0,0,365,-127,49,-80,-249,-196,59,10,-4,4
Cash Flow from Operations,-1521,2845,-324,1133,2268,2904,1445,4269,-102,429,460,541
Purchase of Plant Property & Equipment,-923,-1331,-391,-378,-1785,-1610,-1138,-1582,-883,-2606,-205,-216
Purchase of Investments,-5886,-5086,0,0,-369,232,-5,-9,59,-111,0,16
Disposal of Investments,5831,4888,149,0,807,1870,14,0,0,0,0,0
Other Investing Cash Flows,0,0,226,-382,-1157,-1313,-218,290,1014,28,5,0
Cash Flow from Investing,-978,-1529,-16,-760,-2504,-821,-1347,-1301,190,-2689,-200,-200
Change in LT Debt,1436,378,1,-403,84,112,-68,0,-121,1410,-78,-16
Change in Equity,63,-862,376,35,0,0,-13,-1212,0,0,-29,-20
Payment of Dividends,-13,-14,0,0,-580,-325,-1186,-1370,0,-54,0,0
Other Financing Cash Flows,168,5,0,0,-226,-196,-136,-250,5,-16,-8,-24
Cash Flow from Financing,1654,-493,377,-368,-722,-409,-1403,-2832,-116,1340,-115,-60

Notes:
"Fiscal year end: December 31st for all airlines except Singapore Airlines (March 31st)"
"Exchange rates used:"
"Lufthansa (EUR): 2007=0.684, 2008=0.718"
"Singapore Airlines (SGD): 2007=1.379, 2008=1.52"
"Air Canada & WestJet (CAD): 2007=0.988, 2008=1.224"
"All figures in millions"
"Singapore Airlines year is 2009 (fiscal year ending March 31, 2009) and 2008 (fiscal year ending March 31, 2008)"
