Account,Southwest Airlines 2008,Southwest Airlines 2007,Continental Airlines 2008,Continental Airlines 2007,Lufthansa 2008,Lufthansa 2007,Singapore Airlines 2009,Singapore Airlines 2008,Air Canada 2008,Air Canada 2007,WestJet Airlines 2008,WestJet Airlines 2007
ASSETS,,,,,,,,,,,,
Cash & marketable securities,12.6%,16.6%,20.8%,23.2%,14.6%,16.2%,18.1%,21.1%,8.8%,10.5%,25.0%,21.9%
Accounts receivable,1.5%,1.7%,3.6%,5.0%,13.5%,15.0%,6.0%,7.7%,6.2%,6.3%,0.5%,0.5%
Inventories,1.4%,1.5%,1.9%,2.2%,2.6%,2.3%,2.0%,1.9%,0.9%,0.9%,0.5%,0.3%
Other current assets,4.7%,6.7%,8.0%,7.3%,2.5%,3.5%,1.4%,0.7%,5.3%,3.2%,2.2%,1.3%
Total current assets,20.2%,26.5%,34.3%,37.7%,33.2%,36.9%,27.5%,31.4%,21.1%,20.9%,28.2%,24.1%
Net Plant Property & Equipment,77.2%,64.8%,57.8%,54.2%,50.7%,48.1%,55.5%,62.1%,65.7%,66.9%,69.6%,74.2%
Other long-term assets,2.6%,8.7%,8.0%,8.1%,16.1%,15.0%,16.9%,6.5%,13.1%,12.2%,2.2%,1.8%
Total long-term assets,79.8%,73.5%,65.7%,62.3%,66.8%,63.1%,72.5%,68.6%,78.9%,79.1%,71.8%,75.9%
Total assets,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LIABILITIES,,,,,,,,,,,,
Current Debt,1.1%,0.2%,4.1%,5.4%,1.9%,1.1%,1.2%,0.2%,5.8%,3.5%,5.1%,5.8%
Accounts payable & accrued exps,11.7%,23.1%,16.3%,15.1%,10.5%,11.5%,14.4%,12.7%,12.7%,10.5%,7.6%,5.6%
Other current liabilities,6.7%,5.6%,14.8%,16.2%,25.9%,24.4%,8.2%,9.5%,15.4%,11.0%,9.9%,8.3%
Total current liabilties,19.6%,28.8%,35.3%,36.8%,38.3%,37.1%,23.8%,22.5%,33.9%,25.0%,22.5%,19.8%
Long-term debt,24.4%,12.2%,42.3%,36.1%,14.1%,13.9%,6.1%,6.0%,41.3%,33.8%,36.2%,42.2%
Other long-term liabilities,21.3%,17.5%,21.6%,14.4%,16.7%,18.1%,11.7%,12.6%,18.1%,20.5%,8.1%,6.2%
Total long-term liabilities,45.8%,29.8%,63.9%,50.4%,30.8%,32.0%,17.8%,18.6%,59.4%,54.4%,44.3%,48.4%
Total liabilities,65.4%,58.6%,99.2%,87.2%,69.1%,69.1%,41.6%,41.1%,93.3%,79.4%,66.9%,68.2%
SHAREHOLDERS' EQUITY,,,,,,,,,,,,
Common equity and additional paid in capital,14.1%,12.0%,15.7%,13.3%,5.2%,5.3%,6.7%,1.3%,18.2%,17.4%,1.8%,1.9%
Retained earnings and other equity,20.5%,29.4%,-14.9%,-0.5%,25.6%,25.7%,51.6%,57.7%,-11.5%,3.2%,31.3%,29.9%
Total equity,34.6%,41.4%,0.8%,12.8%,30.9%,30.9%,58.4%,58.9%,6.7%,20.6%,33.1%,31.8%
Total liabilities & equity,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%

Notes:
"Common-sized balance sheet: All items as % of total assets"
"Fiscal year end: December 31st for all airlines except Singapore Airlines (March 31st)"
