Account,Southwest Airlines 2008,Southwest Airlines 2007,Continental Airlines 2008,Continental Airlines 2007,Lufthansa 2008,Lufthansa 2007,Singapore Airlines 2009,Singapore Airlines 2008,Air Canada 2008,Air Canada 2007,WestJet Airlines 2008,WestJet Airlines 2007
Revenue,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Operating expenses,90.5%,86.4%,99.2%,92.3%,93.1%,94.6%,84.0%,77.1%,94.8%,89.4%,83.2%,80.1%
Operating income before depreciation,9.5%,13.6%,0.8%,7.7%,6.9%,5.4%,16.0%,22.9%,5.2%,10.6%,16.8%,19.9%
Depreciation & amortization,5.4%,5.6%,2.9%,2.9%,5.1%,5.3%,10.3%,9.6%,6.8%,5.6%,5.3%,5.9%
Operating income,4.1%,8.0%,-2.1%,4.8%,1.7%,0.1%,5.6%,13.3%,-1.6%,5.0%,11.5%,13.9%
Interest expense (income),0.7%,0.3%,1.8%,1.4%,0.7%,0.9%,-0.6%,-5.1%,2.2%,1.5%,2.0%,2.4%
Non-operating income (expenses),-0.8%,3.0%,-0.7%,0.5%,2.1%,9.7%,1.3%,-3.0%,-6.0%,2.8%,0.5%,-0.5%
Income tax,0.9%,4.2%,-0.6%,0.8%,0.8%,1.6%,0.3%,2.6%,0.2%,1.9%,3.0%,2.1%
Net income,1.6%,6.5%,-3.8%,3.2%,2.4%,7.3%,7.2%,12.8%,-10.0%,4.3%,7.0%,9.0%

Notes:
"Common-sized income statement: All items as % of revenue"
"Fiscal year end: December 31st for all airlines except Singapore Airlines (March 31st)"
