Metric,Southwest Airlines 2008,Southwest Airlines 2007,Continental Airlines 2008,Continental Airlines 2007,Lufthansa 2008,Lufthansa 2007,Singapore Airlines 2009,Singapore Airlines 2008,Air Canada 2008,Air Canada 2007,WestJet Airlines 2008,WestJet Airlines 2007
LIQUIDITY,,,,,,,,,,,,
Cash & market sec. to total assets,12.6%,16.6%,20.6%,23.2%,14.6%,16.2%,18.1%,21.1%,8.8%,10.5%,25.0%,21.9%
Acid test ratio,0.7x,0.6x,0.7x,0.8x,0.7x,0.8x,1.0x,1.3x,0.4x,0.7x,1.1x,1.1x
Current ratio,1.0x,0.9x,1.0x,1.0x,0.9x,1.0x,1.2x,1.4x,0.6x,0.8x,1.3x,1.2x
,,,,,,,,,,,,
EFFICIENCY,,,,,,,,,,,,
Days receivables,6.9,10.3,10.8,15.5,44.1,54.2,33.9,46.7,25.1,27.7,2.4,2.5
Days payables,61.5,165.7,50.1,50.9,36.9,44.1,97.3,99.8,54.2,51.4,42.9,35.6
Days of inventory,7.4,11.1,5.7,7.5,9.1,8.7,13.7,15.1,3.7,4.6,2.9,2.1
Total asset turnover,0.8x,0.6x,1.2x,1.2x,1.1x,1.0x,0.6x,0.6x,0.9x,0.8x,0.8x,0.7x
,,,,,,,,,,,,
FINANCIAL LEVERAGE,,,,,,,,,,,,
Debt to total assets,25.6%,12.5%,46.4%,41.5%,16.0%,15.0%,7.3%,6.2%,47.1%,37.3%,41.3%,48.0%
Debt to equity,73.9%,30.1%,5609.5%,323.7%,51.8%,48.5%,12.6%,10.6%,702.6%,180.9%,124.6%,150.6%
Total liabilities to total assets,65.4%,58.6%,99.2%,87.2%,69.1%,69.1%,41.6%,41.1%,93.3%,79.4%,66.9%,68.2%
EBITDA / interest,13.3x,53.8x,0.5x,5.6x,10.0x,6.3x,NA,NA,2.4x,7.1x,8.4x,8.4x
EBIT / interest,5.7x,31.6x,-1.2x,3.5x,2.5x,0.1x,NA,NA,-0.7x,3.3x,5.7x,5.9x
,,,,,,,,,,,,
PROFITABILITY,,,,,,,,,,,,
Return on equity,3.6%,9.3%,-557.1%,29.6%,8.7%,24.0%,7.9%,13.1%,-134.5%,17.6%,16.4%,20.3%
Return on assets,1.2%,3.8%,-4.6%,3.8%,2.7%,7.4%,4.6%,7.7%,-9.0%,3.6%,5.4%,6.5%
,,,,,,,,,,,,
GROWTH,,,,,,,,,,,,
Sales,11.8%,8.5%,7.1%,8.4%,11.1%,12.7%,0.1%,10.2%,3.5%,3.8%,18.5%,21.3%
Operating income,-43.2%,-15.3%,-145.7%,46.8%,2753.3%,-80.3%,-57.5%,61.7%,-133.1%,91.1%,-2.3%,50.8%
Net income,-72.4%,29.3%,-227.5%,33.8%,-63.8%,106.1%,-44.0%,-3.8%,-338.9%,-679.7%,-7.8%,67.8%
,,,,,,,,,,,,
ROE DECOMPOSITION (DUPONT FORMULA),,,,,,,,,,,,
Return on equity,3.6%,9.3%,-557.1%,29.6%,8.7%,24.0%,7.9%,13.1%,-134.5%,17.6%,16.4%,20.3%
Return on sales,1.6%,6.5%,-3.8%,3.2%,2.4%,7.3%,7.2%,12.8%,-10.0%,4.3%,7.0%,9.0%
Leverage (assets + equity),288.9%,241.6%,12081.9%,781.0%,323.9%,323.5%,171.3%,169.7%,1491.3%,484.5%,301.9%,314.1%
